"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AirNow","170310076","1","0.023","ppm","21","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/02/2019","AirNow","170310076","1","0.017","ppm","16","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/03/2019","AirNow","170310076","1","0.017","ppm","16","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/04/2019","AirNow","170310076","1","0.017","ppm","16","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/05/2019","AirNow","170310076","1","0.018","ppm","17","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/06/2019","AirNow","170310076","1","0.033","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/07/2019","AirNow","170310076","1","0.025","ppm","23","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/08/2019","AirNow","170310076","1","0.028","ppm","26","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/09/2019","AirNow","170310076","1","0.022","ppm","20","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/10/2019","AirNow","170310076","1","0.013","ppm","12","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/11/2019","AirNow","170310076","1","0.023","ppm","21","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/12/2019","AirNow","170310076","1","0.029","ppm","27","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/13/2019","AirNow","170310076","1","0.036","ppm","33","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/14/2019","AirNow","170310076","1","0.028","ppm","26","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/15/2019","AirNow","170310076","1","0.023","ppm","21","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/16/2019","AirNow","170310076","1","0.029","ppm","27","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/17/2019","AirNow","170310076","1","0.012","ppm","11","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/18/2019","AirNow","170310076","1","0.03","ppm","28","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/19/2019","AirNow","170310076","1","0.034","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/20/2019","AirNow","170310076","1","0.031","ppm","29","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/21/2019","AirNow","170310076","1","0.029","ppm","27","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/22/2019","AirNow","170310076","1","0.024","ppm","22","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/05/2019","AirNow","170310076","1","0.025","ppm","23","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/06/2019","AirNow","170310076","1","0.017","ppm","16","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/07/2019","AirNow","170310076","1","0.033","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/08/2019","AirNow","170310076","1","0.034","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/09/2019","AirNow","170310076","1","0.025","ppm","23","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/10/2019","AirNow","170310076","1","0.018","ppm","17","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/11/2019","AirNow","170310076","1","0.022","ppm","20","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/12/2019","AirNow","170310076","1","0.039","ppm","36","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/13/2019","AirNow","170310076","1","0.035","ppm","32","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/14/2019","AirNow","170310076","1","0.033","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/15/2019","AirNow","170310076","1","0.032","ppm","30","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/16/2019","AirNow","170310076","1","0.038","ppm","35","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/17/2019","AirNow","170310076","1","0.03","ppm","28","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/18/2019","AirNow","170310076","1","0.033","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/19/2019","AirNow","170310076","1","0.027","ppm","25","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/20/2019","AirNow","170310076","1","0.038","ppm","35","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/21/2019","AirNow","170310076","1","0.042","ppm","39","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/22/2019","AirNow","170310076","1","0.047","ppm","44","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/23/2019","AirNow","170310076","1","0.027","ppm","25","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/24/2019","AirNow","170310076","1","0.049","ppm","45","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/25/2019","AirNow","170310076","1","0.033","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
