"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","170310076","1","8","ug/m3 LC","33","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/10/2020","AQS","170310076","1","13","ug/m3 LC","53","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/18/2020","AQS","170310076","1","6.7","ug/m3 LC","28","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/22/2020","AQS","170310076","1","13.5","ug/m3 LC","54","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"01/28/2020","AQS","170310076","1","10.3","ug/m3 LC","43","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/03/2020","AQS","170310076","1","7.9","ug/m3 LC","33","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/12/2020","AQS","170310076","1","12.2","ug/m3 LC","51","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/15/2020","AQS","170310076","1","9.4","ug/m3 LC","39","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/21/2020","AQS","170310076","1","11.3","ug/m3 LC","47","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
"02/27/2020","AQS","170310076","1","5.3","ug/m3 LC","22","COM ED MAINTENANCE BLDG","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007"
