"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2020","AQS","170314201","1","8.3","ug/m3 LC","35","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/04/2020","AQS","170314201","1","6","ug/m3 LC","25","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/07/2020","AQS","170314201","1","2.8","ug/m3 LC","12","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/10/2020","AQS","170314201","1","13.6","ug/m3 LC","54","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/16/2020","AQS","170314201","1","9","ug/m3 LC","38","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/19/2020","AQS","170314201","1","6.3","ug/m3 LC","26","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/22/2020","AQS","170314201","1","14.5","ug/m3 LC","56","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/25/2020","AQS","170314201","1","6.1","ug/m3 LC","25","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/28/2020","AQS","170314201","1","5","ug/m3 LC","21","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"01/31/2020","AQS","170314201","1","19","ug/m3 LC","66","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/03/2020","AQS","170314201","1","3.8","ug/m3 LC","16","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/06/2020","AQS","170314201","1","2.2","ug/m3 LC","9","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/09/2020","AQS","170314201","1","10.9","ug/m3 LC","45","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/12/2020","AQS","170314201","1","10.9","ug/m3 LC","45","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/15/2020","AQS","170314201","1","8.2","ug/m3 LC","34","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/18/2020","AQS","170314201","1","7.9","ug/m3 LC","33","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/21/2020","AQS","170314201","1","10.2","ug/m3 LC","43","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/24/2020","AQS","170314201","1","5.1","ug/m3 LC","21","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"02/27/2020","AQS","170314201","1","3.1","ug/m3 LC","13","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"03/01/2020","AQS","170314201","1","8","ug/m3 LC","33","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"03/04/2020","AQS","170314201","1","2.9","ug/m3 LC","12","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"03/07/2020","AQS","170314201","1","7","ug/m3 LC","29","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"03/10/2020","AQS","170314201","1","5.7","ug/m3 LC","24","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
"03/13/2020","AQS","170314201","1","4.4","ug/m3 LC","18","NORTHBROOK WATER PLANT","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.139996190948","-87.7992269168431"
